,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,MF,us United States,21,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,6,6,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,Matches,5bc43860
2,Ali Abdi,DF,tn Tunisia,28,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,17,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,ad7cdb35
3,Salis Abdul Samed,MF,gh Ghana,22,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,82464ce3
4,Saud Abdulhamid,DFMF,sa Saudi Arabia,22,1.sa Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,15,17,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,caa254e4
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1.sa Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,1,7,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20,Matches,bfef5c87
6,Pape Abou Ciss?,DF,sn Senegal,26,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8bc373ea
7,Vincent Aboubakar,FW,cm Cameroon,30,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,3,2,0,0,2,1,0.6,0.6,0.6,1.2,4,1,9,1.27,0.63,1.90,1.27,1.90,0.37,0.39,0.76,0.37,0.76,Matches,8637e09a
8,Abdulrahman Al-Aboud,MFDF,sa Saudi Arabia,27,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24,Matches,9bf54a3b
9,Zakaria Aboukhlal,FWMF,ma Morocco,22,1.fr Toulouse,2000,4,0,79,0.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,1,1,0,1.14,0.00,1.14,1.14,1.14,1.16,0.00,1.16,1.16,1.16,Matches,c2a6033c
10,Kellyn Acosta,MF,us United States,26,1.us Los Angeles FC,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ece10cfe
11,Marcos Acu?a,DFFW,ar Argentina,30,1.es Sevilla,1991,6,4,373,4.1,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,5,13,26,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10,Matches,81442ecb
12,Tyler Adams,MF,us United States,23,1.eng Leeds United,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.5,6,26,0,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches,2b09d998
13,Sam Adekugbe,DF,ca Canada,27,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,7f2309be
14,Michel Aebischer,MFFW,ch Switzerland,25,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f9c927de
15,Akram Afif,FW,qa Qatar,25,1.qa Al Sadd SC,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,7,12,11,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches,fd53d9e7
16,Nayef Aguerd,DF,ma Morocco,26,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,288e1e13
17,Brandon Aguilera,MF,cr Costa Rica,18,1.cr Asociaci?n Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,938fa024
18,Homam Ahmed,DF,qa Qatar,22,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,a62fa158
19,Manuel Akanji,DF,ch Switzerland,26,1.eng Manchester City,1995,4,4,360,4.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,4,16,1,0.25,0.00,0.25,0.25,0.25,0.24,0.03,0.27,0.24,0.27,Matches,89ac64a6
20,Nathan Ak?,DF,nl Netherlands,27,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,12,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114
21,Ahmed Alaaeldin,FW,qa Qatar,29,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,74fbbb3c
22,Jordi Alba,DF,es Spain,33,1.es Barcelona,1989,4,3,264,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9,4,31,30,0.00,0.68,0.68,0.00,0.68,0.01,0.31,0.32,0.01,0.32,Matches,4601e194
23,Toby Alderweireld,DF,be Belgium,33,1.be Antwerp,1989,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,13,1,0.00,0.33,0.33,0.00,0.33,0.00,0.11,0.11,0.00,0.11,Matches,f7d50789
24,Trent Alexander-Arnold,DF,eng England,23,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cd1acf9d
25,Almoez Ali,FW,qa Qatar,25,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches,bae045a9
26,Alisson,GK,br Brazil,29,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8
27,Joe Allen,MF,wls Wales,32,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15,Matches,9feb8f24
